Molecule: ./Results/serine/a5.txt 
Step1: ['add'], Previous ligand: c1ccccc1, Changed ligand: Oc1ccccc1, New ligand: Oc1ccccc1 Score: tensor([0.5001])
Step1082: ['add'], Previous ligand: CCC1C([SH3])=C(C)c2c(CO)ccn2C1OC12C(C(C)C)SNC1(N)C2C(C)=P, Changed ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SNC1(N)C2C(C)=P, New ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SNC1(N)C2C(C)=P Score: tensor([0.7271])
Step1083: ['add'], Previous ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SNC1(N)C2C(C)=P, Changed ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SN(S)C1(N)C2C(C)=P, New ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SN(S)C1(N)C2C(C)=P Score: tensor([0.7192])
Step1084: ['change bond type'], Previous ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SN(S)C1(N)C2C(C)=P, Changed ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SN(S)C1(N)C2C(C)=P, New ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SN(S)C1(N)C2C(C)=P Score: tensor([0.7191])
Step1085: ['remove'], Previous ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(C(C)C)SN(S)C1(N)C2C(C)=P, Changed ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(CC)SN(S)C1(N)C2C(C)=P, New ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(CC)SN(S)C1(N)C2C(C)=P Score: tensor([0.7270])
Step1086: ['add'], Previous ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(CC)SN(S)C1(N)C2C(C)=P, Changed ligand: CCC1SN(S)C2(N)C(C(C)=P)C12OC1C(C(C)C)C([SH3])=C(C)c2c(CO)cc(C)n21, New ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(CC)SN(S)C1(N)C2C(C)=P Score: tensor([0.7270])
Step1087: ['add'], Previous ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(CC)SN(S)C1(N)C2C(C)=P, Changed ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(CC)SN(S)C1(N)C2(C)C(C)=P, New ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(CC)SN(S)C1(N)C2(C)C(C)=P Score: tensor([0.7326])
Step1088: ['move_junction'], Previous ligand: CCC1C([SH3])=C(C)c2c(CO)cc(C)n2C1OC12C(CC)SN(S)C1(N)C2(C)C(C)=P, Changed ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(C)C(C)=P)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(C)C(C)=P)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7404])
Step1089: ['switch'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(C)C(C)=P)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC)C(C)=P)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC)C(C)=P)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7422])
Step1090: ['add'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC)C(C)=P)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CCN)C(C)=P)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CCN)C(C)=P)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7450])
Step1091: ['move_junction'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CCN)C(C)=P)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7475])
Step1092: ['remove'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(O)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7475])
Step1093: ['switch'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(SCOC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7475])
Step1094: ['change type'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(S)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7475])
Step1095: ['remove'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1C([SH3])=C(C)c2c(CO)cc(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)n21, New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7475])
Step1096: ['switch'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(N)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7384])
Step1097: ['switch'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(CCOC34C(CC)SN(S)C3(ON)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7384])
Step1098: ['add'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CC=P)CCN)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CCN)CC(O)=P)cc(CO)c2C(C)=C1[SH3], New ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CCN)CC(O)=P)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7337])
Step1099: ['switch'], Previous ligand: CCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CCN)CC(O)=P)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CCN)CC(O)=P)cc(CO)c2C(C)=C1[SH3], New ligand: CCCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CCN)CC(O)=P)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7320])
Step1100: ['move_junction'], Previous ligand: CCCC1Cn2c(COC34C(CC)SN(S)C3(ON)C4(CCN)CC(O)=P)cc(CO)c2C(C)=C1[SH3], Changed ligand: CCCC1Cn2c(COC34CSN(S)C3(ONCC)C4(CCN)CC(O)=P)cc(CO)c2C(C)=C1[SH3], New ligand: CCCC1Cn2c(COC34CSN(S)C3(ONCC)C4(CCN)CC(O)=P)cc(CO)c2C(C)=C1[SH3] Score: tensor([0.7349])
Step1101: ['remove'], Previous ligand: CCCC1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCNC, Changed ligand: CCCC1C([SH3])=C(OC)c2c(CO)ccn2C1OCNC, New ligand: CCCC1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCNC Score: tensor([0.8642])
Step1102: ['change bond type'], Previous ligand: CCCC1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCNC, Changed ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCNC, New ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCNC Score: tensor([0.8621])
Step1103: ['remove'], Previous ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCNC, Changed ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCN, New ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCN Score: tensor([0.8608])
Step1104: ['change type'], Previous ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCN, Changed ligand: COC1=C([SH3])C(=CCN)C(C)(OCN)n2ccc(CO)c21, New ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCN Score: tensor([0.8608])
Step1105: ['form new ring'], Previous ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCN, Changed ligand: CCC=C1C2=C(OC[SH3]2)c2c(CO)ccn2C1(C)OCN, New ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCN Score: tensor([0.8608])
Step1106: ['add'], Previous ligand: CCC=C1C([SH3])=C(OC)c2c(CO)ccn2C1(C)OCN, Changed ligand: CCC=C1C([SH3])=C(OC)c2c(CO)c(N)cn2C1(C)OCN, New ligand: CCC=C1C([SH3])=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8550])
Step1107: ['add'], Previous ligand: CCC=C1C([SH3])=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC=C1C([SH3])=C(OC)C2(S)C(CO)=C(N)CN2C1(C)OCN, New ligand: CCC=C1C([SH3])=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8550])
Step1108: ['remove'], Previous ligand: CCC=C1C([SH3])=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, New ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8502])
Step1109: ['switch'], Previous ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCCC1CC=C(OC)c2c(CO)c(N)cn2C1(C)OCN, New ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8502])
Step1110: ['switch'], Previous ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC=C1C=C(OC)c2c(CNO)c(N)cn2C1(C)OCN, New ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8502])
Step1111: ['remove'], Previous ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC=C1C=C(OC)c2c(C)c(N)cn2C1(C)OCN, New ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8502])
Step1112: ['remove'], Previous ligand: CCC=C1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, New ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8408])
Step1113: ['add'], Previous ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC1(N)C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, New ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8408])
Step1114: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCON, New ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8408])
Step1115: ['add'], Previous ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: COC1=CC(C(C)=P)C(C)(OCN)n2cc(N)c(CO)c21, New ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8408])
Step1116: ['move_junction'], Previous ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC1(N)C=C(OC)c2c(CO)ccn2C1(C)OCN, New ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8408])
Step1117: ['remove'], Previous ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)CN, New ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8408])
Step1118: ['add'], Previous ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: COC1=CC(C(C)N)C(C)(OCN)n2cc(N)c(CO)c21, New ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8408])
Step1119: ['form new ring'], Previous ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, New ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN Score: tensor([0.8411])
Step1120: ['add'], Previous ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN, New ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN Score: tensor([0.8452])
Step1121: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OSCN, New ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN Score: tensor([0.8452])
Step1122: ['remove'], Previous ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(N)cn2C1(C)OCN, New ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN Score: tensor([0.8452])
Step1123: ['change type'], Previous ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN, New ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN Score: tensor([0.8452])
Step1124: ['change type'], Previous ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)C2=C(CO)N(NC)CN2C1(C)OCN, New ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN Score: tensor([0.8452])
Step1125: ['add'], Previous ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCN, Changed ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCNP, New ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCNP Score: tensor([0.7704])
Step1126: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CO)c(NC)cn2C1(C)OCNP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCNP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCNP Score: tensor([0.7741])
Step1127: ['remove ring'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCNP, Changed ligand: CCC1C=C(OC)C(CCCO)N(CCNC)C1(C)OCNP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCNP Score: tensor([0.7741])
Step1128: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCNP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCNCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCNCP Score: tensor([0.7762])
Step1129: ['remove'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCNCP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP Score: tensor([0.8276])
Step1130: ['add'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, Changed ligand: CCC1C(C)=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, New ligand: CCC1C(C)=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP Score: tensor([0.8354])
Step1131: ['remove'], Previous ligand: CCC1C(C)=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, Changed ligand: CCC1C(C)=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, New ligand: CCC1C(C)=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8299])
Step1132: ['remove'], Previous ligand: CCC1C(C)=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8163])
Step1133: ['change type'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CNc1cn2c(c1CCO)C(OC)=CC(CF)C2(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8163])
Step1134: ['turn ring aromatic'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)C2C(CCO)C(NC)CN2C1(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8163])
Step1135: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C(C)(OCP)O1, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8163])
Step1136: ['remove ring'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCCCC(OC)c1c(CCO)c(NC)cn1C(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8163])
Step1137: ['remove'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCc1c(NC)cn2c1C(OC)=CC(CC)C2(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8163])
Step1138: ['remove ring'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC(CCOC)C(C)(OCP)n1cc(CCO)c(NC)c1, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8163])
Step1139: ['add'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: C=PCOC1(C)C(CC)C=C(OC)c2c(CCO)c(NC)cn21, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8163])
Step1140: ['change type'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8156])
Step1141: ['add'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)C2(C)C(CCO)=C(NC)CN2C1(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8156])
Step1142: ['turn ring aromatic'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)C2C(CCO)C(NC)CN2C1(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8156])
Step1143: ['change type'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)PCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8156])
Step1144: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OOC)c2c(CCO)c(NC)cn2C1(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8156])
Step1145: ['move_junction'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP Score: tensor([0.8154])
Step1146: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP Score: tensor([0.8263])
Step1147: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, Changed ligand: CCC1COC(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP Score: tensor([0.8263])
Step1148: ['switch'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, Changed ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCCP, New ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP Score: tensor([0.8263])
Step1149: ['remove'], Previous ligand: CCC1C=C(OC)c2c(CCO)c(NC)cn2C1(C)OCCP, Changed ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1150: ['add'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCC(N)P, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1151: ['remove'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: COC1=CC(C)C(C)(OCCP)n2cc(N)c(CCO)c21, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1152: ['change type'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)CCCP, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1153: ['remove ring'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CCC(C)(OCCP)n1cc(NC)c(CCO)c1C(C)OC, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1154: ['add'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCPN, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1155: ['switch'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CN=Cc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1156: ['change type'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNc1nn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1157: ['add'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CCCC(P)COC1(C)C(C)C=C(OC)c2c(CCO)c(NC)cn21, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1158: ['remove ring'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNCCN1C(CCCO)C(OC)=CC(C)C1(C)OCCP, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1159: ['move_junction'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNc1c(CCO)c2n(c1C)C(C)(OCCP)CC=C2OC, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1160: ['add'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CCC=PCCOC1(C)C(C)C=C(OC)c2c(CCO)c(NC)cn21, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1161: ['turn ring aromatic'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNC1CN2C(C(OC)=CC(C)C2(C)OCCP)C1CCO, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1162: ['remove'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNc1cn2c(c1CCO)C(O)=CC(C)C2(C)OCCP, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
Step1163: ['add'], Previous ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP, Changed ligand: CNc1cn2c(c1CCOC)C(OC)=CC(C)C2(C)OCCP, New ligand: CNc1cn2c(c1CCO)C(OC)=CC(C)C2(C)OCCP Score: tensor([0.8177])
